Year,Value,ln(Value),
1896,40.45,3.700066644,
1897,49.41,3.900152833,
1898,60.52,4.102973889,
1899,66.08,4.190866129,
1900,70.71,4.258587006,
1901,64.56,4.167595024,
1902,64.29,4.163404098,
1903,49.11,3.89406268,
1904,69.61,4.242908235,
1905,96.2,4.566429358,
1906,94.35,4.547011272,
1907,58.75,4.073291153,
1908,86.15,4.456089963,
1909,99.05,4.595624773,
1910,81.36,4.398883752,
1911,81.68,4.402809174,
1912,87.87,4.47585845,
1913,78.78,4.366659158,
1914,54.58,3.999667515,
1915,99.15,4.596633855,
1916,95,4.553876892,
1917,74.38,4.309187088,
1918,82.2,4.409155302,
1919,107.23,4.67497606,
1920,71.95,4.275971433,
1921,81.1,4.395682961,
1922,98.73,4.592388852,
1923,95.52,4.55933565,
1924,120.51,4.791732737,
1925,156.66,5.054077852,
1926,157.2,5.05751888,
1927,202.4,5.310245937,
1928,300,5.703782475,
1929,248.48,5.515362359,
1930,164.58,5.103396774,
1931,77.9,4.355425953,
1932,59.93,4.093177214,
1933,99.9,4.604169686,
1934,104.04,4.644775441,
1935,144.13,4.97071567,
1936,179.9,5.192401141,
1937,120.85,4.794550107,
1938,154.76,5.04187553,
1939,150.24,5.012234015,
1940,131.13,4.876189198,
1941,110.96,4.709169776,
1942,119.4,4.782479201,
1943,135.89,4.911845735,
1944,152.32,5.025983571,
1945,192.91,5.262223759,
1946,177.2,5.177279038,
1947,181.16,5.199380619,
1948,177.3,5.177843213,
1949,200.13,5.298967155,
1950,235.41,5.461328675,
1951,269.23,5.595566033,
1952,291.9,5.676411278,
1953,280.9,5.637998734,
1954,404.39,6.002379759,
1955,488.4,6.191134742,
1956,499.47,6.213547536,
1957,435.69,6.076930981,
1958,583.65,6.369301488,
1959,679.36,6.521151179,
1960,615.89,6.423068376,
1961,731.14,6.59460496,
1962,652.1,6.480197924,
1963,762.95,6.637192498,
1964,874.13,6.773229106,
1965,969.26,6.876532894,
1966,785.69,6.666562313,
1967,905.11,6.808056483,
1968,943.75,6.849861301,
1969,800.36,6.685061626,
1970,838.92,6.73211535,
1971,890.2,6.791446157,
1972,1020.02,6.927577514,
1973,850.86,6.746247603,
1974,616.24,6.423636498,
1975,852.41,6.748067632,
1976,1004.65,6.912394501,
1977,831.17,6.722834347,
1978,805.01,6.6908547,
1979,838.74,6.731900766,
1980,963.99,6.871080921,
1981,875,6.774223886,
1982,1046.54,6.953244764,
1983,1258.64,7.137787052,
1984,1211.57,7.099672318,
1985,1546.67,7.343859512,
1986,1895.95,7.547475311,
1987,1938.83,7.569839977,
1988,2168.57,7.681823243,
1989,2753.2,7.920519151,
1990,2633.66,7.876129793,
1991,3168.83,8.061117714,
1992,3301.11,8.102014055,
1993,3754.09,8.230601191,
1994,3834.44,8.25177868,
1995,5117.12,8.54034706,
1996,6448.26,8.771565606,
1997,7908.24,8.975660533,
1998,9181.43,9.124938245,
1999,11497.12,9.349851848,
2000,10786.85,9.286083079,
2001,10021.5,9.212488064,
2002,8341.63,9.02901392,
2003,10453.92,9.254732307,
2004,10783.01,9.285727026,
2005,10717.5,9.279633198,
2006,12463.15,9.430531569,
2007,13264.82,9.492870697,
2008,8776.39,9.07982044,
2009,10428.05,9.25225457,
2010,11577.51,9.356819702,
2011,12217.56,9.41062954,
2012,13104.14,9.48068349,
2013,16576.66,9.715750961,
2014,17823.07,9.788248965,
2015,17425.03,9.765662957,
2016,19762.6,9.891546542,
2017,24719.22,10.11533636,
2018,23327.46,10.05738649,
2019,28538.44,10.25900723,
2020,30606.48,10.32896703,
2021,36338.3,10.50062756,
2022,33147.25,10.40871504,
2023,37689.54,10.53713788,
2024,42544.22,10.65829928,
