date,TICKER,PRC,RET,rp-rf,rm-rf,SMB,HML,UMD,rf,,,CAPM only,,,,,
20070131,VYM,52.00,0.56%,0.12%,1.40%,0.10%,-0.13%,0.24%,0.44%,,,0.892511876,0.000465231,"{=LINEST(E2:E121,F2:F121,TRUE,TRUE)}",,,
20070228,VYM,51.19,-1.56%,-1.94%,-1.96%,1.32%,-0.10%,-1.33%,0.38%,,,0.028547879,0.001301686,,,,
20070330,VYM,51.56,1.25%,0.82%,0.68%,-0.06%,-0.23%,2.47%,0.43%,,,0.892278557,0.014120119,,,,
20070430,VYM,53.74,4.23%,3.79%,3.49%,-2.07%,-1.15%,-0.16%,0.44%,,,977.4179258,118,,,,
20070531,VYM,55.36,3.01%,2.60%,3.24%,-0.01%,-0.07%,-0.27%,0.41%,,,0.194875406,0.023526577,,,,
20070629,VYM,53.92,-2.07%,-2.47%,-1.96%,0.79%,-1.11%,0.30%,0.40%,,t-stats,31.26368382,0.357406287,=N2/N3,,,
20070731,VYM,52.10,-3.38%,-3.78%,-3.73%,-2.50%,-3.34%,2.79%,0.40%,,,,,,,,
20070831,VYM,53.10,1.92%,1.50%,0.92%,-0.10%,-2.25%,0.09%,0.42%,,,Fama-French 3 factor model,,,,,
20070928,VYM,54.65,3.57%,3.25%,3.22%,-2.28%,-1.91%,4.64%,0.32%,,,0.274902983,-0.291195489,0.889866098,0.001071079,"{=LINEST(E2:E121,F2:H121,TRUE,TRUE)}",
20071031,VYM,54.48,-0.31%,-0.63%,1.80%,0.22%,-2.62%,4.87%,0.32%,,,0.038241215,0.047080502,0.024600897,0.001003934,,
20071130,VYM,52.62,-3.41%,-3.75%,-4.83%,-2.61%,-1.18%,0.90%,0.34%,,,0.937385782,0.010857648,#N/A,#N/A,,
20071231,VYM,51.10,-2.04%,-2.31%,-0.87%,0.19%,-0.44%,6.54%,0.27%,,,578.8714611,116,#N/A,#N/A,,
20080131,VYM,49.43,-3.27%,-3.48%,-6.36%,-0.87%,3.69%,-7.81%,0.21%,,,0.204726914,0.013675069,#N/A,#N/A,,
20080229,VYM,47.06,-4.79%,-4.92%,-3.09%,-0.21%,-0.88%,6.11%,0.13%,,t-stats,7.18865704,-6.185054845,36.1720999,1.066882181,<-- =P10/P11,
20080331,VYM,47.17,1.02%,0.85%,-0.93%,0.91%,-0.18%,4.08%,0.17%,,,,,,,,
20080430,VYM,48.21,2.20%,2.02%,4.60%,-1.65%,-0.99%,-0.20%,0.18%,,,Fama-French + Momentum = Carhart,,,,,
20080530,VYM,48.15,-0.12%,-0.30%,1.86%,3.15%,-1.49%,3.22%,0.18%,,,-0.011828302,0.266859943,-0.29076314,0.886539052,0.001084492,
20080630,VYM,42.82,-10.30%,-10.47%,-8.44%,1.32%,-2.47%,12.45%,0.17%,,,0.0229087,0.041404763,0.047237467,0.0255064,0.001007458,
20080731,VYM,43.65,1.94%,1.79%,-0.77%,2.44%,5.89%,-5.20%,0.15%,,,0.937530597,0.010892136,#N/A,#N/A,#N/A,
20080829,VYM,44.41,1.75%,1.62%,1.53%,3.61%,1.57%,-4.05%,0.13%,,,431.4753073,115,#N/A,#N/A,#N/A,
20080930,VYM,41.96,-4.69%,-4.84%,-9.24%,-1.11%,6.26%,0.33%,0.15%,,,0.204758542,0.013643441,#N/A,#N/A,#N/A,
